what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328667753919
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328667759851
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328667822765
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1328667827977
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1328667828201
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1328667828756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667829113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667831108
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1328667832106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667832977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667844741
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328667846858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667858779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667877222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1328667877236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1328667877236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667880235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667908416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667926195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667933003
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328667933181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667959333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667978596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667980199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667982810
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328667990779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328667993557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668171868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1328668171885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1328668171885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668176614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668184416
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668205326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668212417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668229653
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668249528
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668256753
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668263526
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668271520
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668289713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668291383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668292645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668293026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668299634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668316930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668317488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668317910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668319766
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328668331770
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668333911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668359505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668392196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668416081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668423885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668547213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668549283
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668558896
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668572554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668586599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668638492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668678774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668723409
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328668726336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668728284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668732500
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668733809
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668749014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668762841
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1328668762905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668802630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668810995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668811450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668811795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668813417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668836306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668836728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668837110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668838782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668899583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668901327
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328668937530
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1328668943367
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328668947505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328668948634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668960209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668960735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668961118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668963099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328668965754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669075518
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669175832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669176352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669176739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669225756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669238199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669241640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669266559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669298971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669380124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669380312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669380482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669380643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669381339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669381702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669382382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669382779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328669383207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669396483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669397205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669397322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669400122
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1328669412496
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328669419471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669425112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669425761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328669426119
