what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328674936874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328674957936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328674958456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328674958786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328674985079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328675041116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328675041616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328675041996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328675054858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328675099785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328676711887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328676715650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328676717848
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328676748872
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328676749087
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328676886603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328676901999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328676902524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328676903459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328676915477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328676920703
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328677005642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677016796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677017477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677018317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677056528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677061854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677062449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677062868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677068191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677235286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677235765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677236209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677266912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677286344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677946748
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1328677956059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328677957175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1328677964288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328677968808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677971093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677971539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328677971952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678057662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678092395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678093332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678093763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678114215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678152722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678153249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678153639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678216599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678249142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678249825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678250221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328678255153
